Problem:    knapsack
Rows:       2
Columns:    350 (350 integer, 350 binary)
Non-zeros:  700
Status:     INTEGER OPTIMAL
Objective:  lucro = 578 (MAXimum)

   No.   Row name        Activity     Lower bound   Upper bound
   199 x[199]       *              0             0             1 
   200 x[200]       *              0             0             1 
   201 x[201]       *              0             0             1 
   202 x[202]       *              0             0             1 
   203 x[203]       *              1             0             1 
   204 x[204]       *              0             0             1 
   205 x[205]       *              1             0             1 
   206 x[206]       *              1             0             1 
   207 x[207]       *              1             0             1 
   208 x[208]       *              0             0             1 
   209 x[209]       *              0             0             1 
   210 x[210]       *              0             0             1 
   211 x[211]       *              1             0             1 
   212 x[212]       *              0             0             1 
   213 x[213]       *              0             0             1 
   214 x[214]       *              0             0             1 
   215 x[215]       *              0             0             1 
   216 x[216]       *              0             0             1 
   217 x[217]       *              0             0             1 
   218 x[218]       *              0             0             1 
   219 x[219]       *              0             0             1 
   220 x[220]       *              0             0             1 
   221 x[221]       *              0             0             1 
   222 x[222]       *              0             0             1 
   223 x[223]       *              0             0             1 
   224 x[224]       *              0             0             1 
   225 x[225]       *              1             0             1 
   226 x[226]       *              0             0             1 
   227 x[227]       *              0             0             1 
   228 x[228]       *              1             0             1 
   229 x[229]       *              0             0             1 
   230 x[230]       *              1             0             1 
   231 x[231]       *              1             0             1 
   232 x[232]       *              0             0             1 
   233 x[233]       *              0             0             1 
   234 x[234]       *              1             0             1 
   235 x[235]       *              0             0             1 
   236 x[236]       *              0             0             1 
   237 x[237]       *              0             0             1 
   238 x[238]       *              0             0             1 
   239 x[239]       *              1             0             1 
   240 x[240]       *              1             0             1 
   241 x[241]       *              0             0             1 
   242 x[242]       *              1             0             1 
   243 x[243]       *              1             0             1 
   244 x[244]       *              0             0             1 
   245 x[245]       *              0             0             1 
   246 x[246]       *              1             0             1 
   247 x[247]       *              0             0             1 
   248 x[248]       *              0             0             1 
   249 x[249]       *              0             0             1 
   250 x[250]       *              0             0             1 
   251 x[251]       *              0             0             1 
   252 x[252]       *              1             0             1 
   253 x[253]       *              0             0             1 
   254 x[254]       *              0             0             1 
   255 x[255]       *              0             0             1 
   256 x[256]       *              0             0             1 
   257 x[257]       *              0             0             1 
   258 x[258]       *              0             0             1 
   259 x[259]       *              0             0             1 
   260 x[260]       *              0             0             1 
   261 x[261]       *              0             0             1 
   262 x[262]       *              1             0             1 
   263 x[263]       *              1             0             1 
   264 x[264]       *              0             0             1 
   265 x[265]       *              0             0             1 
   266 x[266]       *              0             0             1 
   267 x[267]       *              0             0             1 
   268 x[268]       *              0             0             1 
   269 x[269]       *              1             0             1 
   270 x[270]       *              1             0             1 
   271 x[271]       *              1             0             1 
   272 x[272]       *              0             0             1 
   273 x[273]       *              1             0             1 
   274 x[274]       *              0             0             1 
   275 x[275]       *              1             0             1 
   276 x[276]       *              0             0             1 
   277 x[277]       *              0             0             1 
   278 x[278]       *              0             0             1 
   279 x[279]       *              0             0             1 
   280 x[280]       *              0             0             1 
   281 x[281]       *              0             0             1 
   282 x[282]       *              0             0             1 
   283 x[283]       *              0             0             1 
   284 x[284]       *              0             0             1 
   285 x[285]       *              1             0             1 
   286 x[286]       *              0             0             1 
   287 x[287]       *              0             0             1 
   288 x[288]       *              0             0             1 
   289 x[289]       *              1             0             1 
   290 x[290]       *              0             0             1 
   291 x[291]       *              0             0             1 
   292 x[292]       *              1             0             1 
   293 x[293]       *              0             0             1 
   294 x[294]       *              0             0             1 
   295 x[295]       *              0             0             1 
   296 x[296]       *              0             0             1 
   297 x[297]       *              0             0             1 
   298 x[298]       *              1             0             1 
   299 x[299]       *              0             0             1 
   300 x[300]       *              0             0             1 
   301 x[301]       *              0             0             1 
   302 x[302]       *              0             0             1 
   303 x[303]       *              0             0             1 
   304 x[304]       *              1             0             1 
   305 x[305]       *              0             0             1 
   306 x[306]       *              1             0             1 
   307 x[307]       *              0             0             1 
   308 x[308]       *              0             0             1 
   309 x[309]       *              0             0             1 
   310 x[310]       *              1             0             1 
   311 x[311]       *              1             0             1 
   312 x[312]       *              1             0             1 
   313 x[313]       *              1             0             1 
   314 x[314]       *              0             0             1 
   315 x[315]       *              1             0             1 
   316 x[316]       *              0             0             1 
   317 x[317]       *              0             0             1 
   318 x[318]       *              0             0             1 
   319 x[319]       *              0             0             1 
   320 x[320]       *              0             0             1 
   321 x[321]       *              0             0             1 
   322 x[322]       *              0             0             1 
   323 x[323]       *              0             0             1 
   324 x[324]       *              1             0             1 
   325 x[325]       *              1             0             1 
   326 x[326]       *              0             0             1 
   327 x[327]       *              0             0             1 
   328 x[328]       *              1             0             1 
   329 x[329]       *              0             0             1 
   330 x[330]       *              0             0             1 
   331 x[331]       *              0             0             1 
   332 x[332]       *              0             0             1 
   333 x[333]       *              1             0             1 
   334 x[334]       *              0             0             1 
   335 x[335]       *              0             0             1 
   336 x[336]       *              0             0             1 
   337 x[337]       *              0             0             1 
   338 x[338]       *              0             0             1 
   339 x[339]       *              0             0             1 
   340 x[340]       *              1             0             1 
   341 x[341]       *              0             0             1 
   342 x[342]       *              0             0             1 
   343 x[343]       *              1             0             1 
   344 x[344]       *              0             0             1 
   345 x[345]       *              1             0             1 
   346 x[346]       *              1             0             1 
   347 x[347]       *              0             0             1 
   348 x[348]       *              0             0             1 
   349 x[349]       *              0             0             1 
   350 x[350]       *              0             0             1 

Integer feasibility conditions:

KKT.PE: max.abs.err = 0.00e+00 on row 0
        max.rel.err = 0.00e+00 on row 0
        High quality

KKT.PB: max.abs.err = 0.00e+00 on row 0
        max.rel.err = 0.00e+00 on row 0
        High quality

End of output
