Problem:    knapsack
Rows:       2
Columns:    275 (275 integer, 275 binary)
Non-zeros:  550
Status:     INTEGER OPTIMAL
Objective:  lucro = 457 (MAXimum)

   No.   Row name        Activity     Lower bound   Upper bound
    67 x[67]        *              0             0             1 
    68 x[68]        *              0             0             1 
    69 x[69]        *              0             0             1 
    70 x[70]        *              0             0             1 
    71 x[71]        *              0             0             1 
    72 x[72]        *              0             0             1 
    73 x[73]        *              0             0             1 
    74 x[74]        *              0             0             1 
    75 x[75]        *              0             0             1 
    76 x[76]        *              0             0             1 
    77 x[77]        *              1             0             1 
    78 x[78]        *              0             0             1 
    79 x[79]        *              1             0             1 
    80 x[80]        *              1             0             1 
    81 x[81]        *              0             0             1 
    82 x[82]        *              0             0             1 
    83 x[83]        *              0             0             1 
    84 x[84]        *              1             0             1 
    85 x[85]        *              0             0             1 
    86 x[86]        *              0             0             1 
    87 x[87]        *              0             0             1 
    88 x[88]        *              1             0             1 
    89 x[89]        *              0             0             1 
    90 x[90]        *              0             0             1 
    91 x[91]        *              0             0             1 
    92 x[92]        *              0             0             1 
    93 x[93]        *              0             0             1 
    94 x[94]        *              1             0             1 
    95 x[95]        *              0             0             1 
    96 x[96]        *              0             0             1 
    97 x[97]        *              0             0             1 
    98 x[98]        *              0             0             1 
    99 x[99]        *              0             0             1 
   100 x[100]       *              1             0             1 
   101 x[101]       *              1             0             1 
   102 x[102]       *              0             0             1 
   103 x[103]       *              0             0             1 
   104 x[104]       *              0             0             1 
   105 x[105]       *              0             0             1 
   106 x[106]       *              0             0             1 
   107 x[107]       *              1             0             1 
   108 x[108]       *              1             0             1 
   109 x[109]       *              0             0             1 
   110 x[110]       *              0             0             1 
   111 x[111]       *              1             0             1 
   112 x[112]       *              0             0             1 
   113 x[113]       *              1             0             1 
   114 x[114]       *              0             0             1 
   115 x[115]       *              0             0             1 
   116 x[116]       *              0             0             1 
   117 x[117]       *              1             0             1 
   118 x[118]       *              0             0             1 
   119 x[119]       *              0             0             1 
   120 x[120]       *              0             0             1 
   121 x[121]       *              0             0             1 
   122 x[122]       *              0             0             1 
   123 x[123]       *              0             0             1 
   124 x[124]       *              0             0             1 
   125 x[125]       *              0             0             1 
   126 x[126]       *              0             0             1 
   127 x[127]       *              1             0             1 
   128 x[128]       *              0             0             1 
   129 x[129]       *              1             0             1 
   130 x[130]       *              0             0             1 
   131 x[131]       *              0             0             1 
   132 x[132]       *              0             0             1 
   133 x[133]       *              0             0             1 
   134 x[134]       *              1             0             1 
   135 x[135]       *              0             0             1 
   136 x[136]       *              0             0             1 
   137 x[137]       *              0             0             1 
   138 x[138]       *              0             0             1 
   139 x[139]       *              0             0             1 
   140 x[140]       *              0             0             1 
   141 x[141]       *              0             0             1 
   142 x[142]       *              0             0             1 
   143 x[143]       *              1             0             1 
   144 x[144]       *              0             0             1 
   145 x[145]       *              1             0             1 
   146 x[146]       *              1             0             1 
   147 x[147]       *              0             0             1 
   148 x[148]       *              0             0             1 
   149 x[149]       *              0             0             1 
   150 x[150]       *              0             0             1 
   151 x[151]       *              1             0             1 
   152 x[152]       *              0             0             1 
   153 x[153]       *              0             0             1 
   154 x[154]       *              0             0             1 
   155 x[155]       *              0             0             1 
   156 x[156]       *              0             0             1 
   157 x[157]       *              0             0             1 
   158 x[158]       *              0             0             1 
   159 x[159]       *              0             0             1 
   160 x[160]       *              0             0             1 
   161 x[161]       *              0             0             1 
   162 x[162]       *              1             0             1 
   163 x[163]       *              0             0             1 
   164 x[164]       *              1             0             1 
   165 x[165]       *              0             0             1 
   166 x[166]       *              1             0             1 
   167 x[167]       *              0             0             1 
   168 x[168]       *              0             0             1 
   169 x[169]       *              0             0             1 
   170 x[170]       *              0             0             1 
   171 x[171]       *              0             0             1 
   172 x[172]       *              0             0             1 
   173 x[173]       *              1             0             1 
   174 x[174]       *              0             0             1 
   175 x[175]       *              0             0             1 
   176 x[176]       *              0             0             1 
   177 x[177]       *              0             0             1 
   178 x[178]       *              0             0             1 
   179 x[179]       *              0             0             1 
   180 x[180]       *              0             0             1 
   181 x[181]       *              0             0             1 
   182 x[182]       *              0             0             1 
   183 x[183]       *              0             0             1 
   184 x[184]       *              0             0             1 
   185 x[185]       *              1             0             1 
   186 x[186]       *              0             0             1 
   187 x[187]       *              1             0             1 
   188 x[188]       *              1             0             1 
   189 x[189]       *              0             0             1 
   190 x[190]       *              0             0             1 
   191 x[191]       *              0             0             1 
   192 x[192]       *              0             0             1 
   193 x[193]       *              1             0             1 
   194 x[194]       *              0             0             1 
   195 x[195]       *              0             0             1 
   196 x[196]       *              0             0             1 
   197 x[197]       *              0             0             1 
   198 x[198]       *              1             0             1 
   199 x[199]       *              1             0             1 
   200 x[200]       *              0             0             1 
   201 x[201]       *              1             0             1 
   202 x[202]       *              1             0             1 
   203 x[203]       *              0             0             1 
   204 x[204]       *              1             0             1 
   205 x[205]       *              0             0             1 
   206 x[206]       *              0             0             1 
   207 x[207]       *              1             0             1 
   208 x[208]       *              0             0             1 
   209 x[209]       *              0             0             1 
   210 x[210]       *              0             0             1 
   211 x[211]       *              1             0             1 
   212 x[212]       *              0             0             1 
   213 x[213]       *              0             0             1 
   214 x[214]       *              0             0             1 
   215 x[215]       *              0             0             1 
   216 x[216]       *              1             0             1 
   217 x[217]       *              0             0             1 
   218 x[218]       *              0             0             1 
   219 x[219]       *              0             0             1 
   220 x[220]       *              1             0             1 
   221 x[221]       *              0             0             1 
   222 x[222]       *              0             0             1 
   223 x[223]       *              0             0             1 
   224 x[224]       *              0             0             1 
   225 x[225]       *              0             0             1 
   226 x[226]       *              0             0             1 
   227 x[227]       *              0             0             1 
   228 x[228]       *              1             0             1 
   229 x[229]       *              0             0             1 
   230 x[230]       *              0             0             1 
   231 x[231]       *              1             0             1 
   232 x[232]       *              0             0             1 
   233 x[233]       *              1             0             1 
   234 x[234]       *              1             0             1 
   235 x[235]       *              0             0             1 
   236 x[236]       *              0             0             1 
   237 x[237]       *              0             0             1 
   238 x[238]       *              0             0             1 
   239 x[239]       *              0             0             1 
   240 x[240]       *              0             0             1 
   241 x[241]       *              1             0             1 
   242 x[242]       *              0             0             1 
   243 x[243]       *              1             0             1 
   244 x[244]       *              1             0             1 
   245 x[245]       *              0             0             1 
   246 x[246]       *              0             0             1 
   247 x[247]       *              0             0             1 
   248 x[248]       *              0             0             1 
   249 x[249]       *              0             0             1 
   250 x[250]       *              1             0             1 
   251 x[251]       *              1             0             1 
   252 x[252]       *              0             0             1 
   253 x[253]       *              0             0             1 
   254 x[254]       *              0             0             1 
   255 x[255]       *              0             0             1 
   256 x[256]       *              0             0             1 
   257 x[257]       *              0             0             1 
   258 x[258]       *              0             0             1 
   259 x[259]       *              0             0             1 
   260 x[260]       *              1             0             1 
   261 x[261]       *              0             0             1 
   262 x[262]       *              1             0             1 
   263 x[263]       *              1             0             1 
   264 x[264]       *              0             0             1 
   265 x[265]       *              0             0             1 
   266 x[266]       *              0             0             1 
   267 x[267]       *              0             0             1 
   268 x[268]       *              1             0             1 
   269 x[269]       *              0             0             1 
   270 x[270]       *              0             0             1 
   271 x[271]       *              0             0             1 
   272 x[272]       *              0             0             1 
   273 x[273]       *              0             0             1 
   274 x[274]       *              0             0             1 
   275 x[275]       *              0             0             1 

Integer feasibility conditions:

KKT.PE: max.abs.err = 0.00e+00 on row 0
        max.rel.err = 0.00e+00 on row 0
        High quality

KKT.PB: max.abs.err = 0.00e+00 on row 0
        max.rel.err = 0.00e+00 on row 0
        High quality

End of output
